Year,Cohort,Sex,Drivers
1963,Under 16,Male,187
1963,Under 16,Female,114
1963,16,Male,890
1963,16,Female,578
1963,17,Male,1213
1963,17,Female,693
1963,18,Male,1001
1963,18,Female,674
1963,19,Male,1116
1963,19,Female,769
1963,19 and Under,Male,4407
1963,19 and Under,Female,2828
1963,20,Male,1236
1963,20,Female,863
1963,21,Male,1250
1963,21,Female,895
1963,22,Male,1271
1963,22,Female,916
1963,23,Male,1193
1963,23,Female,863
1963,24,Male,1144
1963,24,Female,832
1963,20-24,Male,6094
1963,20-24,Female,4369
1963,25-29,Male,5707
1963,25-29,Female,4114
1963,30-34,Male,5611
1963,30-34,Female,4213
1963,35-39,Male,5947
1963,35-39,Female,4475
1963,40-44,Male,5784
1963,40-44,Female,4265
1963,45-49,Male,5298
1963,45-49,Female,3674
1963,50-54,Male,4718
1963,50-54,Female,3037
1963,55-59,Male,4091
1963,55-59,Female,2392
1963,60-64,Male,3253
1963,60-64,Female,1664
1963,65-69,Male,2539
1963,65-69,Female,1086
1963,70-74,Male,
1963,70-74,Female,
1963,75-79,Male,
1963,75-79,Female,
1963,80-84,Male,
1963,80-84,Female,
1963,85 and Older,Male,
1963,85 and Older,Female,
1964,Under 16,Male,104
1964,Under 16,Female,66
1964,16,Male,792
1964,16,Female,538
1964,17,Male,1288
1964,17,Female,829
1964,18,Male,1276
1964,18,Female,868
1964,19,Male,1257
1964,19,Female,857
1964,19 and Under,Male,4717
1964,19 and Under,Female,3158
1964,20,Male,1271
1964,20,Female,922
1964,21,Male,1285
1964,21,Female,956
1964,22,Male,1307
1964,22,Female,978
1964,23,Male,1227
1964,23,Female,921
1964,24,Male,1176
1964,24,Female,888
1964,20-24,Male,6266
1964,20-24,Female,4665
1964,25-29,Male,5786
1964,25-29,Female,4290
1964,30-34,Male,5688
1964,30-34,Female,4291
1964,35-39,Male,5946
1964,35-39,Female,4567
1964,40-44,Male,5890
1964,40-44,Female,4404
1964,45-49,Male,5314
1964,45-49,Female,3795
1964,50-54,Male,4751
1964,50-54,Female,3162
1964,55-59,Male,4036
1964,55-59,Female,2423
1964,60-64,Male,3208
1964,60-64,Female,1715
1964,65-69,Male,2422
1964,65-69,Female,1096
1964,70-74,Male,
1964,70-74,Female,
1964,75-79,Male,
1964,75-79,Female,
1964,80-84,Male,
1964,80-84,Female,
1964,85 and Older,Male,
1964,85 and Older,Female,
1965,Under 16,Male,82
1965,Under 16,Female,54
1965,16,Male,807
1965,16,Female,551
1965,17,Male,1339
1965,17,Female,877
1965,18,Male,1474
1965,18,Female,1015
1965,19,Male,1421
1965,19,Female,1003
1965,19 and Under,Male,5123
1965,19 and Under,Female,3500
1965,20,Male,1295
1965,20,Female,945
1965,21,Male,1297
1965,21,Female,985
1965,22,Male,1373
1965,22,Female,1054
1965,23,Male,1360
1965,23,Female,1039
1965,24,Male,1260
1965,24,Female,972
1965,20-24,Male,6585
1965,20-24,Female,4995
1965,25-29,Male,5882
1965,25-29,Female,4436
1965,30-34,Male,5666
1965,30-34,Female,4362
1965,35-39,Male,5962
1965,35-39,Female,4671
1965,40-44,Male,5984
1965,40-44,Female,4560
1965,45-49,Male,5457
1965,45-49,Female,3955
1965,50-54,Male,4870
1965,50-54,Female,3299
1965,55-59,Male,4149
1965,55-59,Female,2559
1965,60-64,Male,3228
1965,60-64,Female,1777
1965,65-69,Male,2448
1965,65-69,Female,1149
1965,70-74,Male,
1965,70-74,Female,
1965,75-79,Male,
1965,75-79,Female,
1965,80-84,Male,
1965,80-84,Female,
1965,85 and Older,Male,
1965,85 and Older,Female,
1966,Under 16,Male,74
1966,Under 16,Female,52
1966,16,Male,821
1966,16,Female,572
1966,17,Male,1335
1966,17,Female,913
1966,18,Male,1449
1966,18,Female,1033
1966,19,Male,1553
1966,19,Female,1153
1966,19 and Under,Male,5232
1966,19 and Under,Female,3723
1966,20,Male,1423
1966,20,Female,1082
1966,21,Male,1265
1966,21,Female,983
1966,22,Male,1326
1966,22,Female,1032
1966,23,Male,1396
1966,23,Female,1084
1966,24,Male,1393
1966,24,Female,1086
1966,20-24,Male,6803
1966,20-24,Female,5267
1966,25-29,Male,6090
1966,25-29,Female,4644
1966,30-34,Male,5676
1966,30-34,Female,4379
1966,35-39,Male,5905
1966,35-39,Female,4635
1966,40-44,Male,5999
1966,40-44,Female,4588
1966,45-49,Male,5544
1966,45-49,Female,4069
1966,50-54,Male,4924
1966,50-54,Female,3371
1966,55-59,Male,4247
1966,55-59,Female,2672
1966,60-64,Male,3374
1966,60-64,Female,1894
1966,65-69,Male,2494
1966,65-69,Female,1225
1966,70-74,Male,
1966,70-74,Female,
1966,75-79,Male,
1966,75-79,Female,
1966,80-84,Male,
1966,80-84,Female,
1966,85 and Older,Male,
1966,85 and Older,Female,
1967,Under 16,Male,67
1967,Under 16,Female,48
1967,16,Male,822
1967,16,Female,545
1967,17,Male,1338
1967,17,Female,891
1967,18,Male,1459
1967,18,Female,1023
1967,19,Male,1567
1967,19,Female,1153
1967,19 and Under,Male,5253
1967,19 and Under,Female,3660
1967,20,Male,1559
1967,20,Female,1195
1967,21,Male,1444
1967,21,Female,1137
1967,22,Male,1321
1967,22,Female,1024
1967,23,Male,1358
1967,23,Female,1066
1967,24,Male,1408
1967,24,Female,1092
1967,20-24,Male,7090
1967,20-24,Female,5514
1967,25-29,Male,6312
1967,25-29,Female,4871
1967,30-34,Male,5739
1967,30-34,Female,4467
1967,35-39,Male,5922
1967,35-39,Female,4676
1967,40-44,Male,6056
1967,40-44,Female,4687
1967,45-49,Male,5653
1967,45-49,Female,4190
1967,50-54,Male,4988
1967,50-54,Female,3501
1967,55-59,Male,4311
1967,55-59,Female,2818
1967,60-64,Male,3392
1967,60-64,Female,1985
1967,65-69,Male,2491
1967,65-69,Female,1286
1967,70-74,Male,
1967,70-74,Female,
1967,75-79,Male,
1967,75-79,Female,
1967,80-84,Male,
1967,80-84,Female,
1967,85 and Older,Male,
1967,85 and Older,Female,
1968,Under 16,Male,72
1968,Under 16,Female,51
1968,16,Male,869
1968,16,Female,584
1968,17,Male,1360
1968,17,Female,932
1968,18,Male,1437
1968,18,Female,1011
1968,19,Male,1548
1968,19,Female,1145
1968,19 and Under,Male,5286
1968,19 and Under,Female,3723
1968,20,Male,1514
1968,20,Female,1169
1968,21,Male,1578
1968,21,Female,1264
1968,22,Male,1483
1968,22,Female,1191
1968,23,Male,1354
